,BM,IdioVol3F,Investment,Mom12m,OperProf,Size,SP500,RSSL2K,USDIDX,TBLL13WK,GDP,UNRATE,INFLATION,POLICY,GLDRSRV,CRUDOIL,regime
2009-01-31,11.048133089864828,42.346551958322365,1.9031539687546297,336.72369277314874,3.7623148241486812,1.9802136376093264,825.8800048828125,443.5299987792969,86.0,0.2199999988079071,14430.902,7.8,211.933,271.44,64322.5254758466,41.74,0.0
2009-02-28,10.667445063254613,44.98177717323028,1.980944581281108,357.45782315841427,3.7014710365706844,1.9796754709367024,735.0900268554688,389.0199890136719,88.01000213623047,0.25,14430.902,7.8,211.933,271.44,64322.5254758466,41.74,0.0
2009-03-31,10.951543183032278,39.94646970987419,1.9814206518176898,309.47371655520254,3.481503415907263,1.9289639389050628,797.8699951171875,422.75,85.43000030517578,0.20000000298023224,14430.902,7.8,211.933,271.44,64322.5254758466,41.74,1.0
2009-04-30,11.631762236163874,28.146092465459567,1.908193375586257,187.34423486143103,3.335396189248853,2.0081975630116697,872.8099975585938,487.55999755859375,84.61000061035156,0.125,14381.236,9.0,212.709,134.87,64073.5328982655,49.79,0.0
2009-05-31,11.354959821193642,26.10732663788131,1.900239538354696,151.85245134699625,3.317555635113276,2.1341957386621973,919.1400146484375,501.5799865722656,80.43000030517578,0.12999999523162842,14381.236,9.0,212.709,134.87,64073.5328982655,49.79,0.0
2009-06-30,11.41333425651279,26.816204681326138,1.9004815688955932,156.99538391018925,3.3126055070246383,2.229639399910736,919.3200073242188,508.2799987792969,80.12999725341797,0.18000000715255737,14381.236,9.0,212.709,134.87,64073.5328982655,49.79,0.0
2009-07-31,11.70400665819843,25.640587672641747,1.9449280553084594,149.49226451280379,3.2079130980626402,2.1843145648261637,987.47998046875,556.7100219726562,78.3499984741211,0.17499999701976776,14448.882,9.5,214.726,121.17,71890.2090578923,64.09,0.0
2009-08-31,12.300337362851042,22.23673393923381,1.9118530812366108,136.60589321269393,3.111601353210071,2.385775178923759,1020.6199951171875,572.0700073242188,78.16999816894531,0.12999999523162842,14448.882,9.5,214.726,121.17,71890.2090578923,64.09,0.0
2009-09-30,12.909962195609202,21.22083586262616,1.9423649182533342,128.34092821895777,3.0278603188792337,2.5167018323418957,1057.0799560546875,604.280029296875,76.6500015258789,0.11500000208616257,14448.882,9.5,214.726,121.17,71890.2090578923,64.09,0.0
2009-10-31,12.10584043367646,23.547586715247494,1.9277353887512487,139.50318298753407,3.2402955717704574,2.394965717246761,1036.18994140625,562.77001953125,76.30000305175781,0.04500000178813934,14651.249,10.0,216.509,66.48,123649.037930591,75.82,0.0
2009-11-30,11.582558491217949,23.524695067155516,1.9449509212748808,140.0110224458869,3.2077735679845167,2.2657346493785644,1095.6300048828125,579.72998046875,74.87999725341797,0.05000000074505806,14651.249,10.0,216.509,66.48,123649.037930591,75.82,0.0
2009-12-31,11.688472681045697,22.81965123560141,1.9883434368964343,149.05955443238318,3.074613927876737,2.308337963062985,1115.0999755859375,625.3900146484375,77.86000061035156,0.05000000074505806,14651.249,10.0,216.509,66.48,123649.037930591,75.82,0.0
2010-01-31,11.412583285970424,23.247323975368122,1.9702279019506617,136.26074841248789,3.0461886042189517,2.4320079731686346,1073.8699951171875,602.0399780273438,79.45999908447266,0.07000000029802322,14764.61,9.8,217.488,174.55,118919.212771275,78.22,0.0
2010-02-28,11.767797943409038,22.60262066050211,1.9653084500493696,141.2933060076276,2.968510643375056,2.3946682180759655,1104.489990234375,628.5599975585938,80.36000061035156,0.11500000208616257,14764.61,9.8,217.488,174.55,118919.212771275,78.22,0.0
2010-03-31,12.086027210844328,21.78843609443662,2.005118393491379,140.25195000986,2.880567021344583,2.4689048779422813,1169.4300537109375,678.6400146484375,81.06999969482422,0.15000000596046448,14764.61,9.8,217.488,174.55,118919.212771275,78.22,0.0
2010-04-30,12.032815244097442,20.755448519082,2.1136650260430447,145.4742533349728,2.813684195860002,2.6890056713563606,1186.68994140625,716.5999755859375,81.87000274658203,0.1550000011920929,14980.193,9.9,217.403,84.33,115440.378936001,84.48,0.0
2010-05-31,12.080392830325547,21.23573746970906,2.170072075936092,142.6920931442938,2.799632172532812,2.641926918537917,1089.4100341796875,661.6099853515625,86.4800033569336,0.15000000596046448,14980.193,9.9,217.403,84.33,115440.378936001,84.48,0.0
2010-06-30,11.565166945726766,22.449458613126815,2.1711670928161393,136.29932566826483,2.8655283364300455,2.518993931999119,1030.7099609375,609.489990234375,86.0199966430664,0.17000000178813934,14980.193,9.9,217.403,84.33,115440.378936001,84.48,0.0
2010-07-31,11.697366111854901,21.164158902577658,2.177684065273358,137.8934584935841,2.8139319622630956,2.398454385654377,1101.5999755859375,650.8900146484375,81.54000091552734,0.14000000059604645,15141.607,9.4,217.605,194.68,118086.093532154,76.37,0.0
2010-08-31,11.241863954610226,21.6819737335392,2.1290362273909382,133.99933936749844,2.8576320881190833,2.3657632438953904,1049.3299560546875,602.0599975585938,83.19999694824219,0.13500000536441803,15141.607,9.4,217.605,194.68,118086.093532154,76.37,1.0
2010-09-30,11.311016962201123,20.411815813778546,2.1842248191293283,141.60978976672794,2.800717453972501,2.305013526651378,1141.199951171875,676.1400146484375,78.72000122070312,0.1550000011920929,15141.607,9.4,217.605,194.68,118086.093532154,76.37,1.0
2010-10-31,11.350453265436913,20.173965178263465,2.218567854311845,141.26278024345825,2.8104890617341116,2.259699492303766,1183.260009765625,703.3499755859375,77.2699966430664,0.10999999940395355,15309.474,9.4,219.035,174.77,124350.676677663,81.9,1.0
2010-11-30,11.332725264957002,19.44759783252494,2.1948740068964376,144.29986254967835,2.688461483268343,2.0858118680252766,1180.550048828125,727.010009765625,81.19999694824219,0.1599999964237213,15309.474,9.4,219.035,174.77,124350.676677663,81.9,1.0
2010-12-31,12.165344918135292,19.312584861177182,2.200307468091118,135.84561810467451,2.558081159832357,2.121957756027743,1257.6400146484375,783.6500244140625,79.02999877929688,0.11500000208616257,15309.474,9.4,219.035,174.77,124350.676677663,81.9,1.0
2011-01-31,12.043170535414001,19.782189011323084,2.1659856739251753,131.13876399692722,2.499714281571097,2.154396242687108,1286.1199951171875,781.25,77.73999786376953,0.14499999582767487,15351.448,9.1,221.187,231.47,122902.105467976,89.42,1.0
2011-02-28,11.812935250800372,19.591835703457285,2.186497920815886,134.78642725033177,2.4458339919576684,2.185569722193905,1327.219970703125,823.4500122070312,76.88999938964844,0.13500000536441803,15351.448,9.1,221.187,231.47,122902.105467976,89.42,1.0
2011-03-31,11.439988141209737,19.766848433295237,2.191113419170893,141.31463442945457,2.4615438384338613,2.1441233234481167,1325.8299560546875,843.5499877929688,75.86000061035156,0.09000000357627869,15351.448,9.1,221.187,231.47,122902.105467976,89.42,1.0
2011-04-30,11.130261533086507,20.139396267278503,2.1648657518526604,143.72075112762744,2.5109061301008175,2.067326682268554,1363.6099853515625,865.2899780273438,72.93000030517578,0.03999999910593033,15557.539,9.1,224.093,148.31,131947.527247554,110.04,1.0
2011-05-31,10.663343971256719,20.516676886732387,2.152006561599928,142.05862473499332,2.5757667408151996,2.053012658808186,1345.199951171875,848.2999877929688,74.63999938964844,0.03999999910593033,15557.539,9.1,224.093,148.31,131947.527247554,110.04,1.0
2011-06-30,10.56721587193831,21.181616920179263,2.1304352166532143,146.30657296017264,2.641354085405071,1.9830980183194824,1320.6400146484375,827.4299926757812,74.30000305175781,0.014999999664723873,15557.539,9.1,224.093,148.31,131947.527247554,110.04,1.0
2011-07-31,10.364547330264307,21.099227237937598,2.097921539050901,149.88197155098035,2.7274697479031307,2.0231182122110907,1292.280029296875,797.030029296875,73.9000015258789,0.09000000357627869,15647.68,9.0,225.395,75.9,138662.478884711,97.19,1.0
2011-08-31,9.561866137876802,22.70341325581191,2.0805484238868255,150.5444856996791,2.8976319366378527,1.9660521536525888,1218.8900146484375,726.8099975585938,74.12999725341797,0.014999999664723873,15647.68,9.0,225.395,75.9,138662.478884711,97.19,1.0
2011-09-30,9.186107660827332,25.49193914094844,1.9983863067537757,147.8727319706967,3.0486463171563396,1.9215192741856995,1131.4200439453125,644.1599731445312,78.55000305175781,0.009999999776482582,15647.68,9.0,225.395,75.9,138662.478884711,97.19,1.0
2011-10-31,9.669487755288435,23.860455301366006,2.0233997139271414,140.46418229338263,2.9243153379186593,1.7826850425771394,1253.300048828125,741.0599975585938,76.16999816894531,0.004999999888241291,15842.259,8.8,226.75,99.06,139654.084356688,86.41,1.0
2011-11-30,9.10679275636144,24.97621892413679,1.9762888804067793,146.3469900069174,3.000777086143358,1.6878115279635424,1246.9599609375,737.4199829101562,78.38999938964844,0.014999999664723873,15842.259,8.8,226.75,99.06,139654.084356688,86.41,1.0
